ts,date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
1556205535,25-Apr-19, 08:18:55 ,53097,61017,7761,40436,1,injection
1556205536,25-Apr-19, 08:18:56 ,37123,38696,9876,14069,1,injection
1556205537,25-Apr-19, 08:18:57 ,37123,38696,9876,14069,1,injection
1556205537,25-Apr-19, 08:18:57 ,37123,38696,9876,14069,1,injection
1556205538,25-Apr-19, 08:18:58 ,37123,38696,9876,14069,1,injection
1556205540,25-Apr-19, 08:19:00 ,50768,8566,32668,64899,1,injection
1556205541,25-Apr-19, 08:19:01 ,50768,8566,32668,64899,1,injection
1556205542,25-Apr-19, 08:19:02 ,50768,8566,32668,64899,1,injection
1556205542,25-Apr-19, 08:19:02 ,50768,8566,32668,64899,1,injection
1556205543,25-Apr-19, 08:19:03 ,44946,16950,63038,847,1,injection
1556205545,25-Apr-19, 08:19:05 ,44946,16950,63038,847,1,injection
1556205546,25-Apr-19, 08:19:06 ,44946,16950,63038,847,1,injection
1556205547,25-Apr-19, 08:19:07 ,1072,44696,53113,18280,1,injection
1556205547,25-Apr-19, 08:19:07 ,44946,16950,63038,847,1,injection
1556205548,25-Apr-19, 08:19:08 ,1072,44696,53113,18280,1,injection
1556205550,25-Apr-19, 08:19:10 ,1072,44696,53113,18280,1,injection
1556205551,25-Apr-19, 08:19:11 ,1072,44696,53113,18280,1,injection
1556205552,25-Apr-19, 08:19:12 ,25773,41864,4198,24054,1,injection
1556205552,25-Apr-19, 08:19:12 ,25773,41864,4198,24054,1,injection
1556205553,25-Apr-19, 08:19:13 ,25773,41864,4198,24054,1,injection
1556205555,25-Apr-19, 08:19:15 ,25773,41864,4198,24054,1,injection
1556205557,25-Apr-19, 08:19:17 ,21722,12387,62312,25742,1,injection
1556205557,25-Apr-19, 08:19:17 ,21722,12387,62312,25742,1,injection
1556205558,25-Apr-19, 08:19:18 ,21722,12387,62312,25742,1,injection
1556205560,25-Apr-19, 08:19:20 ,2290,56020,26830,44722,1,injection
1556205561,25-Apr-19, 08:19:21 ,2290,56020,26830,44722,1,injection
1556205562,25-Apr-19, 08:19:22 ,2290,56020,26830,44722,1,injection
1556205562,25-Apr-19, 08:19:22 ,2290,56020,26830,44722,1,injection
1556205563,25-Apr-19, 08:19:23 ,20255,51199,61586,11775,1,injection
1556205565,25-Apr-19, 08:19:25 ,20255,51199,61586,11775,1,injection
1556205566,25-Apr-19, 08:19:26 ,20255,51199,61586,11775,1,injection
1556205567,25-Apr-19, 08:19:27 ,20255,51199,61586,11775,1,injection
1556205567,25-Apr-19, 08:19:27 ,3153,56665,57861,29102,1,injection
1556205568,25-Apr-19, 08:19:28 ,3153,56665,57861,29102,1,injection
1556205570,25-Apr-19, 08:19:30 ,3153,56665,57861,29102,1,injection
1556205571,25-Apr-19, 08:19:31 ,3153,56665,57861,29102,1,injection
1556205572,25-Apr-19, 08:19:32 ,3013,61380,1359,23701,1,injection
1556205572,25-Apr-19, 08:19:32 ,3013,61380,1359,23701,1,injection
1556205573,25-Apr-19, 08:19:33 ,3013,61380,1359,23701,1,injection
1556205575,25-Apr-19, 08:19:35 ,3013,61380,1359,23701,1,injection
1556205576,25-Apr-19, 08:19:36 ,38387,113,14311,32132,1,injection
1556205577,25-Apr-19, 08:19:37 ,38387,113,14311,32132,1,injection
1556205577,25-Apr-19, 08:19:37 ,38387,113,14311,32132,1,injection
1556205578,25-Apr-19, 08:19:38 ,38387,113,14311,32132,1,injection
1556205580,25-Apr-19, 08:19:40 ,7020,7398,21297,57243,1,injection
1556205581,25-Apr-19, 08:19:41 ,7020,7398,21297,57243,1,injection
1556205582,25-Apr-19, 08:19:42 ,7020,7398,21297,57243,1,injection
1556205582,25-Apr-19, 08:19:42 ,7020,7398,21297,57243,1,injection
1556205583,25-Apr-19, 08:19:43 ,54022,61871,42553,41160,1,injection
1556205585,25-Apr-19, 08:19:45 ,54022,61871,42553,41160,1,injection
1556205586,25-Apr-19, 08:19:46 ,54022,61871,42553,41160,1,injection
1556205587,25-Apr-19, 08:19:47 ,54022,61871,42553,41160,1,injection
1556205587,25-Apr-19, 08:19:47 ,23762,54211,49850,28739,1,injection
1556205588,25-Apr-19, 08:19:48 ,23762,54211,49850,28739,1,injection
1556205593,25-Apr-19, 08:19:53 ,43422,19457,13761,3335,1,injection
1556205595,25-Apr-19, 08:19:55 ,43422,19457,13761,3335,1,injection
1556205596,25-Apr-19, 08:19:56 ,18366,40642,43824,36964,1,injection
1556205597,25-Apr-19, 08:19:57 ,18366,40642,43824,36964,1,injection
1556205597,25-Apr-19, 08:19:57 ,18366,40642,43824,36964,1,injection
1556205598,25-Apr-19, 08:19:58 ,18366,40642,43824,36964,1,injection
1556205600,25-Apr-19, 08:20:00 ,60084,15809,48275,25084,1,injection
1556205601,25-Apr-19, 08:20:01 ,60084,15809,48275,25084,1,injection
1556205602,25-Apr-19, 08:20:02 ,60084,15809,48275,25084,1,injection
1556205602,25-Apr-19, 08:20:02 ,60084,15809,48275,25084,1,injection
1556205603,25-Apr-19, 08:20:03 ,34519,62708,28447,58044,1,injection
1556205605,25-Apr-19, 08:20:05 ,34519,62708,28447,58044,1,injection
1556205606,25-Apr-19, 08:20:06 ,34519,62708,28447,58044,1,injection
1556205607,25-Apr-19, 08:20:07 ,34519,62708,28447,58044,1,injection
1556205607,25-Apr-19, 08:20:07 ,26504,52384,34786,22068,1,injection
1556205608,25-Apr-19, 08:20:08 ,26504,52384,34786,22068,1,injection
1556205610,25-Apr-19, 08:20:10 ,26504,52384,34786,22068,1,injection
1556205611,25-Apr-19, 08:20:11 ,26504,52384,34786,22068,1,injection
1556205612,25-Apr-19, 08:20:12 ,45176,20682,8094,23503,1,injection
1556205612,25-Apr-19, 08:20:12 ,45176,20682,8094,23503,1,injection
1556205613,25-Apr-19, 08:20:13 ,45176,20682,8094,23503,1,injection
1556205615,25-Apr-19, 08:20:15 ,45176,20682,8094,23503,1,injection
1556205616,25-Apr-19, 08:20:16 ,26223,13011,35473,58147,1,injection
1556205617,25-Apr-19, 08:20:17 ,26223,13011,35473,58147,1,injection
1556205617,25-Apr-19, 08:20:17 ,26223,13011,35473,58147,1,injection
1556205618,25-Apr-19, 08:20:18 ,26223,13011,35473,58147,1,injection
1556205620,25-Apr-19, 08:20:20 ,60765,17006,27159,49730,1,injection
1556205621,25-Apr-19, 08:20:21 ,60765,17006,27159,49730,1,injection
1556205622,25-Apr-19, 08:20:22 ,60765,17006,27159,49730,1,injection
1556205622,25-Apr-19, 08:20:22 ,60765,17006,27159,49730,1,injection
1556205625,25-Apr-19, 08:20:25 ,33407,38160,64838,35635,1,injection
1556205626,25-Apr-19, 08:20:26 ,33407,38160,64838,35635,1,injection
1556205627,25-Apr-19, 08:20:27 ,33407,38160,64838,35635,1,injection
1556205627,25-Apr-19, 08:20:27 ,52271,35492,25304,64671,1,injection
1556205630,25-Apr-19, 08:20:30 ,52271,35492,25304,64671,1,injection
1556205631,25-Apr-19, 08:20:31 ,52271,35492,25304,64671,1,injection
1556205632,25-Apr-19, 08:20:32 ,47461,15570,31383,44933,1,injection
1556205632,25-Apr-19, 08:20:32 ,47461,15570,31383,44933,1,injection
1556205633,25-Apr-19, 08:20:33 ,47461,15570,31383,44933,1,injection
1556205635,25-Apr-19, 08:20:35 ,47461,15570,31383,44933,1,injection
1556205636,25-Apr-19, 08:20:36 ,27274,8197,16902,31985,1,injection
1556205637,25-Apr-19, 08:20:37 ,27274,8197,16902,31985,1,injection
1556205637,25-Apr-19, 08:20:37 ,27274,8197,16902,31985,1,injection
1556205640,25-Apr-19, 08:20:40 ,31350,50155,18388,29286,1,injection
1556205641,25-Apr-19, 08:20:41 ,31350,50155,18388,29286,1,injection
1556205642,25-Apr-19, 08:20:42 ,31350,50155,18388,29286,1,injection
1556205642,25-Apr-19, 08:20:42 ,31350,50155,18388,29286,1,injection
1556205643,25-Apr-19, 08:20:43 ,56876,62760,62207,8303,1,injection
1556205645,25-Apr-19, 08:20:45 ,56876,62760,62207,8303,1,injection
1556205646,25-Apr-19, 08:20:46 ,56876,62760,62207,8303,1,injection
1556205647,25-Apr-19, 08:20:47 ,56876,62760,62207,8303,1,injection
1556205647,25-Apr-19, 08:20:47 ,53695,35222,21415,18203,1,injection
1556205650,25-Apr-19, 08:20:50 ,53695,35222,21415,18203,1,injection
1556205651,25-Apr-19, 08:20:51 ,53695,35222,21415,18203,1,injection
1556205652,25-Apr-19, 08:20:52 ,61582,24564,32861,45796,1,injection
1556205652,25-Apr-19, 08:20:52 ,61582,24564,32861,45796,1,injection
1556205653,25-Apr-19, 08:20:53 ,61582,24564,32861,45796,1,injection
1556205655,25-Apr-19, 08:20:55 ,61582,24564,32861,45796,1,injection
1556205656,25-Apr-19, 08:20:56 ,32055,36758,30439,9763,1,injection
1556205657,25-Apr-19, 08:20:57 ,32055,36758,30439,9763,1,injection
1556205657,25-Apr-19, 08:20:57 ,32055,36758,30439,9763,1,injection
1556205660,25-Apr-19, 08:21:00 ,23620,20986,43353,53840,1,injection
1556205661,25-Apr-19, 08:21:01 ,23620,20986,43353,53840,1,injection
1556205662,25-Apr-19, 08:21:02 ,23620,20986,43353,53840,1,injection
1556205662,25-Apr-19, 08:21:02 ,23620,20986,43353,53840,1,injection
1556205663,25-Apr-19, 08:21:03 ,9273,5285,54008,55393,1,injection
1556205665,25-Apr-19, 08:21:05 ,9273,5285,54008,55393,1,injection
1556205666,25-Apr-19, 08:21:06 ,9273,5285,54008,55393,1,injection
1556205668,25-Apr-19, 08:21:08 ,41627,15411,942,25029,1,injection
1556205670,25-Apr-19, 08:21:10 ,41627,15411,942,25029,1,injection
1556205672,25-Apr-19, 08:21:12 ,331,41367,58645,28148,1,injection
1556205672,25-Apr-19, 08:21:12 ,331,41367,58645,28148,1,injection
1556205675,25-Apr-19, 08:21:15 ,331,41367,58645,28148,1,injection
1556205676,25-Apr-19, 08:21:16 ,60461,16833,43818,7209,1,injection
1556205677,25-Apr-19, 08:21:17 ,60461,16833,43818,7209,1,injection
1556205677,25-Apr-19, 08:21:17 ,60461,16833,43818,7209,1,injection
1556205680,25-Apr-19, 08:21:20 ,11166,22652,64219,5482,1,injection
1556205681,25-Apr-19, 08:21:21 ,11166,22652,64219,5482,1,injection
1556205682,25-Apr-19, 08:21:22 ,11166,22652,64219,5482,1,injection
1556205682,25-Apr-19, 08:21:22 ,11166,22652,64219,5482,1,injection
1556205683,25-Apr-19, 08:21:23 ,11073,14210,40388,58825,1,injection
1556205685,25-Apr-19, 08:21:25 ,11073,14210,40388,58825,1,injection
1556205686,25-Apr-19, 08:21:26 ,11073,14210,40388,58825,1,injection
1556205687,25-Apr-19, 08:21:27 ,9149,55825,58965,42236,1,injection
1556205687,25-Apr-19, 08:21:27 ,11073,14210,40388,58825,1,injection
1556205690,25-Apr-19, 08:21:30 ,9149,55825,58965,42236,1,injection
1556205691,25-Apr-19, 08:21:31 ,9149,55825,58965,42236,1,injection
1556205692,25-Apr-19, 08:21:32 ,34408,26147,26844,59932,1,injection
1556205692,25-Apr-19, 08:21:32 ,34408,26147,26844,59932,1,injection
1556205693,25-Apr-19, 08:21:33 ,34408,26147,26844,59932,1,injection
1556205695,25-Apr-19, 08:21:35 ,34408,26147,26844,59932,1,injection
1556205696,25-Apr-19, 08:21:36 ,26311,42717,60996,61720,1,injection
1556205697,25-Apr-19, 08:21:37 ,26311,42717,60996,61720,1,injection
1556205697,25-Apr-19, 08:21:37 ,26311,42717,60996,61720,1,injection
1556205700,25-Apr-19, 08:21:40 ,35330,64519,3661,59797,1,injection
1556205701,25-Apr-19, 08:21:41 ,35330,64519,3661,59797,1,injection
1556205702,25-Apr-19, 08:21:42 ,35330,64519,3661,59797,1,injection
1556205702,25-Apr-19, 08:21:42 ,35330,64519,3661,59797,1,injection
1556205703,25-Apr-19, 08:21:43 ,11045,11446,9620,37164,1,injection
1556205705,25-Apr-19, 08:21:45 ,11045,11446,9620,37164,1,injection
1556205707,25-Apr-19, 08:21:47 ,11045,11446,9620,37164,1,injection
1556205707,25-Apr-19, 08:21:47 ,11045,11446,9620,37164,1,injection
1556205707,25-Apr-19, 08:21:47 ,36820,43736,24899,55694,1,injection
1556205708,25-Apr-19, 08:21:48 ,36820,43736,24899,55694,1,injection
1556205710,25-Apr-19, 08:21:50 ,36820,43736,24899,55694,1,injection
1556205712,25-Apr-19, 08:21:52 ,36820,43736,24899,55694,1,injection
1556205712,25-Apr-19, 08:21:52 ,3967,47328,9880,17630,1,injection
1556205712,25-Apr-19, 08:21:52 ,3967,47328,9880,17630,1,injection
1556205713,25-Apr-19, 08:21:53 ,3967,47328,9880,17630,1,injection
1556205715,25-Apr-19, 08:21:55 ,3967,47328,9880,17630,1,injection
1556205717,25-Apr-19, 08:21:57 ,46228,40668,26988,55116,1,injection
1556205717,25-Apr-19, 08:21:57 ,46228,40668,26988,55116,1,injection
1556205717,25-Apr-19, 08:21:57 ,46228,40668,26988,55116,1,injection
1556205718,25-Apr-19, 08:21:58 ,46228,40668,26988,55116,1,injection
1556205720,25-Apr-19, 08:22:00 ,22378,61022,6873,39884,1,injection
1556205722,25-Apr-19, 08:22:02 ,22378,61022,6873,39884,1,injection
1556205722,25-Apr-19, 08:22:02 ,22378,61022,6873,39884,1,injection
1556205722,25-Apr-19, 08:22:02 ,22378,61022,6873,39884,1,injection
1556205723,25-Apr-19, 08:22:03 ,3407,39677,40165,58351,1,injection
1556205725,25-Apr-19, 08:22:05 ,3407,39677,40165,58351,1,injection
1556205727,25-Apr-19, 08:22:07 ,3407,39677,40165,58351,1,injection
1556205727,25-Apr-19, 08:22:07 ,3407,39677,40165,58351,1,injection
1556205727,25-Apr-19, 08:22:07 ,24845,47095,60644,63590,1,injection
1556205728,25-Apr-19, 08:22:08 ,24845,47095,60644,63590,1,injection
1556205730,25-Apr-19, 08:22:10 ,24845,47095,60644,63590,1,injection
1556205732,25-Apr-19, 08:22:12 ,24845,47095,60644,63590,1,injection
1556205732,25-Apr-19, 08:22:12 ,4411,47166,59445,31,1,injection
1556205732,25-Apr-19, 08:22:12 ,4411,47166,59445,31,1,injection
1556205733,25-Apr-19, 08:22:13 ,4411,47166,59445,31,1,injection
1556205735,25-Apr-19, 08:22:15 ,4411,47166,59445,31,1,injection
1556205737,25-Apr-19, 08:22:17 ,26929,44268,49254,10759,1,injection
1556205737,25-Apr-19, 08:22:17 ,26929,44268,49254,10759,1,injection
1556205737,25-Apr-19, 08:22:17 ,26929,44268,49254,10759,1,injection
1556205738,25-Apr-19, 08:22:18 ,26929,44268,49254,10759,1,injection
1556205740,25-Apr-19, 08:22:20 ,44784,48890,6406,37343,1,injection
1556205742,25-Apr-19, 08:22:22 ,44784,48890,6406,37343,1,injection
1556205742,25-Apr-19, 08:22:22 ,44784,48890,6406,37343,1,injection
1556205742,25-Apr-19, 08:22:22 ,44784,48890,6406,37343,1,injection
1556205743,25-Apr-19, 08:22:23 ,14345,54324,50270,30737,1,injection
1556205745,25-Apr-19, 08:22:25 ,14345,54324,50270,30737,1,injection
1556205747,25-Apr-19, 08:22:27 ,966,19277,749,17893,1,injection
1556205747,25-Apr-19, 08:22:27 ,14345,54324,50270,30737,1,injection
1556205747,25-Apr-19, 08:22:27 ,14345,54324,50270,30737,1,injection
1556205750,25-Apr-19, 08:22:30 ,966,19277,749,17893,1,injection
1556205752,25-Apr-19, 08:22:32 ,966,19277,749,17893,1,injection
1556205752,25-Apr-19, 08:22:32 ,41793,27457,45620,58098,1,injection
1556205752,25-Apr-19, 08:22:32 ,41793,27457,45620,58098,1,injection
1556205753,25-Apr-19, 08:22:33 ,41793,27457,45620,58098,1,injection
1556205760,25-Apr-19, 08:22:40 ,4759,1679,2633,31246,1,injection
1556205762,25-Apr-19, 08:22:42 ,4759,1679,2633,31246,1,injection
1556205762,25-Apr-19, 08:22:42 ,4759,1679,2633,31246,1,injection
1556205762,25-Apr-19, 08:22:42 ,4759,1679,2633,31246,1,injection
1556205763,25-Apr-19, 08:22:43 ,62736,52143,34187,45554,1,injection
1556205765,25-Apr-19, 08:22:45 ,62736,52143,34187,45554,1,injection
1556205767,25-Apr-19, 08:22:47 ,63853,389,47618,28052,1,injection
1556205767,25-Apr-19, 08:22:47 ,62736,52143,34187,45554,1,injection
1556205767,25-Apr-19, 08:22:47 ,62736,52143,34187,45554,1,injection
1556205768,25-Apr-19, 08:22:48 ,63853,389,47618,28052,1,injection
1556205772,25-Apr-19, 08:22:52 ,63853,389,47618,28052,1,injection
1556205772,25-Apr-19, 08:22:52 ,35824,52633,7210,61280,1,injection
1556205772,25-Apr-19, 08:22:52 ,35824,52633,7210,61280,1,injection
1556205773,25-Apr-19, 08:22:53 ,35824,52633,7210,61280,1,injection
1556205775,25-Apr-19, 08:22:55 ,35824,52633,7210,61280,1,injection
1556205777,25-Apr-19, 08:22:57 ,8648,50376,62401,30451,1,injection
1556205777,25-Apr-19, 08:22:57 ,8648,50376,62401,30451,1,injection
1556205778,25-Apr-19, 08:22:58 ,8648,50376,62401,30451,1,injection
1556205778,25-Apr-19, 08:22:58 ,8648,50376,62401,30451,1,injection
1556205780,25-Apr-19, 08:23:00 ,59294,51889,29804,10259,1,injection
1556205782,25-Apr-19, 08:23:02 ,59294,51889,29804,10259,1,injection
1556205782,25-Apr-19, 08:23:02 ,59294,51889,29804,10259,1,injection
1556205783,25-Apr-19, 08:23:03 ,59294,51889,29804,10259,1,injection
1556205783,25-Apr-19, 08:23:03 ,27780,43386,8054,64152,1,injection
1556205785,25-Apr-19, 08:23:05 ,27780,43386,8054,64152,1,injection
1556205787,25-Apr-19, 08:23:07 ,27780,43386,8054,64152,1,injection
1556205787,25-Apr-19, 08:23:07 ,27780,43386,8054,64152,1,injection
1556205788,25-Apr-19, 08:23:08 ,57456,18408,57819,60269,1,injection
1556205788,25-Apr-19, 08:23:08 ,57456,18408,57819,60269,1,injection
1556205790,25-Apr-19, 08:23:10 ,57456,18408,57819,60269,1,injection
1556205792,25-Apr-19, 08:23:12 ,5930,27615,2574,12115,1,injection
1556205792,25-Apr-19, 08:23:12 ,57456,18408,57819,60269,1,injection
1556205793,25-Apr-19, 08:23:13 ,5930,27615,2574,12115,1,injection
1556205793,25-Apr-19, 08:23:13 ,5930,27615,2574,12115,1,injection
1556205795,25-Apr-19, 08:23:15 ,5930,27615,2574,12115,1,injection
1556205797,25-Apr-19, 08:23:17 ,52278,44168,28760,56047,1,injection
1556205797,25-Apr-19, 08:23:17 ,52278,44168,28760,56047,1,injection
1556205798,25-Apr-19, 08:23:18 ,52278,44168,28760,56047,1,injection
1556205798,25-Apr-19, 08:23:18 ,52278,44168,28760,56047,1,injection
1556205800,25-Apr-19, 08:23:20 ,65256,41685,57728,4350,1,injection
1556205802,25-Apr-19, 08:23:22 ,65256,41685,57728,4350,1,injection
